x,ichiman,gosen,sen,gohyaku,hyaku,goju,ju,go,ichi
34319,3,0,4,0,3,0,1,1,4
983993,98,0,3,1,4,1,4,0,3
497585,49,1,2,1,0,1,3,1,0
825007,82,1,0,0,0,0,0,1,2
397847,39,1,2,1,3,0,4,1,2
323764,32,0,3,1,2,1,1,0,4
883385,88,0,3,0,3,1,3,1,0
555887,55,1,0,1,3,1,3,1,2
451391,45,0,1,0,3,1,4,0,1
113949,11,0,3,1,4,0,4,1,4
245078,24,1,0,0,0,1,2,1,3
914139,91,0,4,0,1,0,3,1,4
290966,29,0,0,1,4,1,1,1,1
235911,23,1,0,1,4,0,1,0,1
904116,90,0,4,0,1,0,1,1,1
994858,99,0,4,1,3,1,0,1,3
841219,84,0,1,0,2,0,1,1,4
253486,25,0,3,0,4,1,3,1,1
988049,98,1,3,0,0,0,4,1,4
187567,18,1,2,1,0,1,1,1,2
903595,90,0,3,1,0,1,4,1,0
57635,5,1,2,1,1,0,3,1,0
198679,19,1,3,1,1,1,2,1,4
515729,51,1,0,1,2,0,2,1,4
66855,6,1,1,1,3,1,0,1,0
999888,99,1,4,1,3,1,3,1,3
271675,27,0,1,1,1,1,2,1,0
941186,94,0,1,0,1,1,3,1,1
194308,19,0,4,0,3,0,0,1,3
139296,13,1,4,0,2,1,4,1,1
712215,71,0,2,0,2,0,1,1,0
552981,55,0,2,1,4,1,3,0,1
991120,99,0,1,0,1,0,2,0,0
577193,57,1,2,0,1,1,4,0,3
426245,42,1,1,0,2,0,4,1,0
435421,43,1,0,0,4,0,2,0,1
31283,3,0,1,0,2,1,3,0,3
392251,39,0,2,0,2,1,0,0,1
873329,87,0,3,0,3,0,2,1,4
606050,60,1,1,0,0,1,0,0,0
554525,55,0,4,1,0,0,2,1,0
273822,27,0,3,1,3,0,2,0,2
457282,45,1,2,0,2,1,3,0,2
926288,92,1,1,0,2,1,3,1,3
724975,72,0,4,1,4,1,2,1,0
541720,54,0,1,1,2,0,2,0,0
885400,88,1,0,0,4,0,0,0,0
630010,63,0,0,0,0,0,1,0,0
472455,47,0,2,0,4,1,0,1,0
703934,70,0,3,1,4,0,3,0,4
780304,78,0,0,0,3,0,0,0,4
171887,17,0,1,1,3,1,3,1,2
908174,90,1,3,0,1,1,2,0,4
186910,18,1,1,1,4,0,1,0,0
338495,33,1,3,0,4,1,4,1,0
138795,13,1,3,1,2,1,4,1,0
117057,11,1,2,0,0,1,0,1,2
117586,11,1,2,1,0,1,3,1,1
823510,82,0,3,1,0,0,1,0,0
403401,40,0,3,0,4,0,0,0,1
325372,32,1,0,0,3,1,2,0,2
934803,93,0,4,1,3,0,0,0,3
276800,27,1,1,1,3,0,0,0,0
198990,19,1,3,1,4,1,4,0,0
428413,42,1,3,0,4,0,1,0,3
382752,38,0,2,1,2,1,0,0,2
185977,18,1,0,1,4,1,2,1,2
417009,41,1,2,0,0,0,0,1,4
425378,42,1,0,0,3,1,2,1,3
594716,59,0,4,1,2,0,1,1,1
441550,44,0,1,1,0,1,0,0,0
45076,4,1,0,0,0,1,2,1,1
979204,97,1,4,0,2,0,0,0,4
992,0,0,0,1,4,1,4,0,2
517740,51,1,2,1,2,0,4,0,0
839278,83,1,4,0,2,1,2,1,3
702220,70,0,2,0,2,0,2,0,0
17561,1,1,2,1,0,1,1,0,1
381102,38,0,1,0,1,0,0,0,2
796727,79,1,1,1,2,0,2,1,2
605700,60,1,0,1,2,0,0,0,0
234865,23,0,4,1,3,1,1,1,0
728088,72,1,3,0,0,1,3,1,3
636696,63,1,1,1,1,1,4,1,1
215970,21,1,0,1,4,1,2,0,0
9161,0,1,4,0,1,1,1,0,1
294108,29,0,4,0,1,0,0,1,3
277412,27,1,2,0,4,0,1,0,2
522290,52,0,2,0,2,1,4,0,0
442686,44,0,2,1,1,1,3,1,1
727821,72,1,2,1,3,0,2,0,1
186457,18,1,1,0,4,1,0,1,2
429524,42,1,4,1,0,0,2,0,4
143349,14,0,3,0,3,0,4,1,4
237337,23,1,2,0,3,0,3,1,2
105837,10,1,0,1,3,0,3,1,2
771700,77,0,1,1,2,0,0,0,0
356878,35,1,1,1,3,1,2,1,3
899586,89,1,4,1,0,1,3,1,1
209111,20,1,4,0,1,0,1,0,1
335005,33,1,0,0,0,0,0,1,0
871975,87,0,1,1,4,1,2,1,0
801908,80,0,1,1,4,0,0,1,3
833800,83,0,3,1,3,0,0,0,0
510977,51,0,0,1,4,1,2,1,2
684781,68,0,4,1,2,1,3,0,1
136408,13,1,1,0,4,0,0,1,3
654482,65,0,4,0,4,1,3,0,2
871825,87,0,1,1,3,0,2,1,0
433192,43,0,3,0,1,1,4,0,2
326030,32,1,1,0,0,0,3,0,0
214992,21,0,4,1,4,1,4,0,2
957569,95,1,2,1,0,1,1,1,4
401768,40,0,1,1,2,1,1,1,3
52813,5,0,2,1,3,0,1,0,3
897715,89,1,2,1,2,0,1,1,0
515966,51,1,0,1,4,1,1,1,1
376096,37,1,1,0,0,1,4,1,1
786959,78,1,1,1,4,1,0,1,4
774194,77,0,4,0,1,1,4,0,4
526558,52,1,1,1,0,1,0,1,3
551536,55,0,1,1,0,0,3,1,1
148658,14,1,3,1,1,1,0,1,3
304941,30,0,4,1,4,0,4,0,1
751714,75,0,1,1,2,0,1,0,4
868620,86,1,3,1,1,0,2,0,0
179845,17,1,4,1,3,0,4,1,0
309336,30,1,4,0,3,0,3,1,1
671596,67,0,1,1,0,1,4,1,1
258594,25,1,3,1,0,1,4,0,4
427955,42,1,2,1,4,1,0,1,0
616209,61,1,1,0,2,0,0,1,4
663829,66,0,3,1,3,0,2,1,4
734451,73,0,4,0,4,1,0,0,1
838418,83,1,3,0,4,0,1,1,3
633789,63,0,3,1,2,1,3,1,4
99181,9,1,4,0,1,1,3,0,1
618758,61,1,3,1,2,1,0,1,3
23613,2,0,3,1,1,0,1,0,3
111429,11,0,1,0,4,0,2,1,4
3702,0,0,3,1,2,0,0,0,2
221526,22,0,1,1,0,0,2,1,1
467919,46,1,2,1,4,0,1,1,4
604714,60,0,4,1,2,0,1,0,4
580222,58,0,0,0,2,0,2,0,2
233073,23,0,3,0,0,1,2,0,3
984442,98,0,4,0,4,0,4,0,2
919770,91,1,4,1,2,1,2,0,0
291012,29,0,1,0,0,0,1,0,2
959985,95,1,4,1,4,1,3,1,0
976148,97,1,1,0,1,0,4,1,3
65994,6,1,0,1,4,1,4,0,4
98966,9,1,3,1,4,1,1,1,1
793988,79,0,3,1,4,1,3,1,3
312093,31,0,2,0,0,1,4,0,3
424364,42,0,4,0,3,1,1,0,4
676967,67,1,1,1,4,1,1,1,2
766037,76,1,1,0,0,0,3,1,2
716288,71,1,1,0,2,1,3,1,3
712439,71,0,2,0,4,0,3,1,4
386108,38,1,1,0,1,0,0,1,3
544443,54,0,4,0,4,0,4,0,3
15532,1,1,0,1,0,0,3,0,2
307847,30,1,2,1,3,0,4,1,2
352239,35,0,2,0,2,0,3,1,4
637533,63,1,2,1,0,0,3,0,3
705951,70,1,0,1,4,1,0,0,1
249728,24,1,4,1,2,0,2,1,3
803678,80,0,3,1,1,1,2,1,3
65993,6,1,0,1,4,1,4,0,3
548505,54,1,3,1,0,0,0,1,0
956336,95,1,1,0,3,0,3,1,1
476351,47,1,1,0,3,1,0,0,1
775603,77,1,0,1,1,0,0,0,3
718056,71,1,3,0,0,1,0,1,1
156797,15,1,1,1,2,1,4,1,2
496270,49,1,1,0,2,1,2,0,0
182952,18,0,2,1,4,1,0,0,2
703238,70,0,3,0,2,0,3,1,3
712358,71,0,2,0,3,1,0,1,3
958875,95,1,3,1,3,1,2,1,0
560856,56,0,0,1,3,1,0,1,1
522319,52,0,2,0,3,0,1,1,4
793382,79,0,3,0,3,1,3,0,2
667357,66,1,2,0,3,1,0,1,2
972805,97,0,2,1,3,0,0,1,0
101421,10,0,1,0,4,0,2,0,1
749979,74,1,4,1,4,1,2,1,4
63517,6,0,3,1,0,0,1,1,2
408815,40,1,3,1,3,0,1,1,0
986204,98,1,1,0,2,0,0,0,4
129513,12,1,4,1,0,0,1,0,3
922731,92,0,2,1,2,0,3,0,1
431993,43,0,1,1,4,1,4,0,3
243367,24,0,3,0,3,1,1,1,2
406552,40,1,1,1,0,1,0,0,2
831182,83,0,1,0,1,1,3,0,2
447838,44,1,2,1,3,0,3,1,3
867039,86,1,2,0,0,0,3,1,4
346702,34,1,1,1,2,0,0,0,2
344058,34,0,4,0,0,1,0,1,3
812551,81,0,2,1,0,1,0,0,1
64325,6,0,4,0,3,0,2,1,0
849620,84,1,4,1,1,0,2,0,0
696122,69,1,1,0,1,0,2,0,2
500351,50,0,0,0,3,1,0,0,1
856610,85,1,1,1,1,0,1,0,0
122748,12,0,2,1,2,0,4,1,3
945907,94,1,0,1,4,0,0,1,2
147976,14,1,2,1,4,1,2,1,1
909709,90,1,4,1,2,0,0,1,4
524894,52,0,4,1,3,1,4,0,4
133223,13,0,3,0,2,0,2,0,3
140527,14,0,0,1,0,0,2,1,2
278846,27,1,3,1,3,0,4,1,1
566045,56,1,1,0,0,0,4,1,0
18458,1,1,3,0,4,1,0,1,3
191356,19,0,1,0,3,1,0,1,1
120702,12,0,0,1,2,0,0,0,2
882162,88,0,2,0,1,1,1,0,2
267714,26,1,2,1,2,0,1,0,4
909534,90,1,4,1,0,0,3,0,4
970643,97,0,0,1,1,0,4,0,3
25276,2,1,0,0,2,1,2,1,1
379937,37,1,4,1,4,0,3,1,2
222467,22,0,2,0,4,1,1,1,2
243615,24,0,3,1,1,0,1,1,0
844533,84,0,4,1,0,0,3,0,3
40348,4,0,0,0,3,0,4,1,3
375660,37,1,0,1,1,1,1,0,0
216766,21,1,1,1,2,1,1,1,1
118995,11,1,3,1,4,1,4,1,0
830484,83,0,0,0,4,1,3,0,4
213457,21,0,3,0,4,1,0,1,2
941179,94,0,1,0,1,1,2,1,4
339148,33,1,4,0,1,0,4,1,3
982448,98,0,2,0,4,0,4,1,3
481989,48,0,1,1,4,1,3,1,4
373417,37,0,3,0,4,0,1,1,2
328204,32,1,3,0,2,0,0,0,4
598196,59,1,3,0,1,1,4,1,1
498415,49,1,3,0,4,0,1,1,0
97615,9,1,2,1,1,0,1,1,0
255244,25,1,0,0,2,0,4,0,4
382847,38,0,2,1,3,0,4,1,2
660846,66,0,0,1,3,0,4,1,1
328456,32,1,3,0,4,1,0,1,1
759141,75,1,4,0,1,0,4,0,1
858405,85,1,3,0,4,0,0,1,0
223391,22,0,3,0,3,1,4,0,1
828079,82,1,3,0,0,1,2,1,4
892961,89,0,2,1,4,1,1,0,1
18691,1,1,3,1,1,1,4,0,1
880514,88,0,0,1,0,0,1,0,4
459097,45,1,4,0,0,1,4,1,2
388180,38,1,3,0,1,1,3,0,0
678148,67,1,3,0,1,0,4,1,3
600031,60,0,0,0,0,0,3,0,1
130632,13,0,0,1,1,0,3,0,2
286018,28,1,1,0,0,0,1,1,3
229135,22,1,4,0,1,0,3,1,0
389449,38,1,4,0,4,0,4,1,4
828592,82,1,3,1,0,1,4,0,2
396428,39,1,1,0,4,0,2,1,3
794035,79,0,4,0,0,0,3,1,0
59053,5,1,4,0,0,1,0,0,3
796360,79,1,1,0,3,1,1,0,0
644166,64,0,4,0,1,1,1,1,1
650522,65,0,0,1,0,0,2,0,2
